timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1690054963642,47,PUT Activity,200,OK,StressTest 1-4,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/8,46,0,0
1690054963641,49,POST Activity,200,OK,StressTest 1-6,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,49,0,0
1690054963649,45,POST Activity,200,OK,StressTest 1-14,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,45,0,0
1690054963652,44,POST Activity,200,OK,StressTest 1-5,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,44,0,0
1690054963660,37,DELETE Activity,200,OK,StressTest 1-11,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/6,37,0,0
1690054963658,39,POST Activity,200,OK,StressTest 1-10,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,39,0,0
1690054963660,46,GET Activity,200,OK,StressTest 1-8,text,true,,289,209,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/10,46,0,0
1690054963661,45,PUT Activity,200,OK,StressTest 1-12,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/9,45,0,0
1690054963668,40,GET Activity,200,OK,StressTest 1-1,text,true,,288,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/1,40,0,0
1690054963667,46,DELETE Activity,200,OK,StressTest 1-9,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/7,46,0,0
1690054963670,44,POST Activity,200,OK,StressTest 1-2,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,44,0,0
1690054963678,39,GET Activity,200,OK,StressTest 1-3,text,true,,286,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/2,39,0,0
1690054963682,42,GET Activity,200,OK,StressTest 1-15,text,true,,288,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/3,42,0,0
1690054963682,43,POST Activity,200,OK,StressTest 1-13,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,43,0,0
1690054963689,43,DELETE Activity,200,OK,StressTest 1-4,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/8,43,0,0
1690054963695,38,GET Activity,200,OK,StressTest 1-14,text,true,,287,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/6,38,0,0
1690054963689,45,POST Activity,200,OK,StressTest 1-7,text,true,,275,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,45,0,0
1690054963696,46,GET Activity,200,OK,StressTest 1-5,text,true,,287,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/5,45,0,0
1690054963697,48,GET Activity,200,OK,StressTest 1-10,text,true,,288,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/7,48,0,0
1690054963699,47,GET All Activities,200,OK,StressTest 1-11,text,true,,3044,206,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,47,0,0
1690054963706,43,PUT Activity,200,OK,StressTest 1-8,text,true,,275,332,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/10,43,0,0
1690054963708,43,PUT Activity,200,OK,StressTest 1-1,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/1,42,0,0
1690054963690,62,GET Activity,200,OK,StressTest 1-6,text,true,,287,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/4,62,0,0
1690054963706,49,DELETE Activity,200,OK,StressTest 1-12,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/9,49,0,0
1690054963713,42,GET All Activities,200,OK,StressTest 1-9,text,true,,3050,206,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,42,0,0
1690054963715,43,GET Activity,200,OK,StressTest 1-2,text,true,,287,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/8,43,0,0
1690054963718,42,PUT Activity,200,OK,StressTest 1-3,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/2,42,0,0
1690054963724,44,PUT Activity,200,OK,StressTest 1-15,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/3,44,0,0
1690054963725,44,GET Activity,200,OK,StressTest 1-13,text,true,,288,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/9,44,0,0
1690054963732,46,GET All Activities,200,OK,StressTest 1-4,text,true,,3048,206,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,46,0,0
1690054963733,46,PUT Activity,200,OK,StressTest 1-14,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/6,46,0,0
